Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
03-06-2023,07:40,02-06-2023,,,Währungswechsel (Einbuchung),,EUR,"19,63",EUR,"218,43",
03-06-2023,07:40,02-06-2023,,,Währungswechsel (Ausbuchung),"1,0735",USD,"-21,07",USD,"0,00",
02-06-2023,17:36,02-06-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 6,3 EUR",,,,EUR,"198,80",
02-06-2023,17:36,02-06-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-6,30",EUR,"192,50",
02-06-2023,07:50,01-06-2023,INTEL CORPORATION - CO,US4581401001,Dividende,,USD,"7,75",USD,"21,07",
02-06-2023,07:50,01-06-2023,INTEL CORPORATION - CO,US4581401001,Dividendensteuer,,USD,"-1,16",USD,"13,32",
02-06-2023,07:37,01-06-2023,,,Währungswechsel (Einbuchung),,EUR,"6,30",EUR,"198,80",
02-06-2023,07:37,01-06-2023,,,Währungswechsel (Ausbuchung),"1,0789",USD,"-6,80",USD,"14,48",
02-06-2023,07:30,01-06-2023,KROGER COMPANY (THE) C,US5010441013,Dividende,,USD,"2,60",USD,"21,28",
02-06-2023,07:30,01-06-2023,KROGER COMPANY (THE) C,US5010441013,Dividendensteuer,,USD,"-0,39",USD,"18,68",
02-06-2023,07:17,01-06-2023,CONAGRA FOODS INC. CO,US2058871029,Dividende,,USD,"5,28",USD,"19,07",
02-06-2023,07:17,01-06-2023,CONAGRA FOODS INC. CO,US2058871029,Dividendensteuer,,USD,"-0,79",USD,"13,79",
02-06-2023,07:16,01-06-2023,FORD MOTOR COMPANY COM,US3453708600,Dividende,,USD,"9,15",USD,"14,58",
02-06-2023,07:16,01-06-2023,FORD MOTOR COMPANY COM,US3453708600,Dividendensteuer,,USD,"-1,37",USD,"5,43",
01-06-2023,17:50,01-06-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 25,76 EUR",,,,EUR,"192,50",
01-06-2023,17:50,01-06-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-25,76",EUR,"166,74",
01-06-2023,07:40,31-05-2023,,,Währungswechsel (Einbuchung),,EUR,"25,76",EUR,"192,50",
01-06-2023,07:40,31-05-2023,,,Währungswechsel (Ausbuchung),"1,0716",USD,"-27,60",USD,"6,80",
01-06-2023,07:19,31-05-2023,CF INDUSTRIES HOLDINGS,US1252691001,Dividende,,USD,"8,00",USD,"34,40",
01-06-2023,07:19,31-05-2023,CF INDUSTRIES HOLDINGS,US1252691001,Dividendensteuer,,USD,"-1,20",USD,"26,40",
31-05-2023,17:04,31-05-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 18,64 EUR",,,,EUR,"166,74",
31-05-2023,17:04,31-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-18,64",EUR,"148,10",
31-05-2023,09:00,30-05-2023,ISHARES PROP US,IE00B1FZSF77,Dividende,,USD,"16,03",USD,"27,60",
31-05-2023,07:44,30-05-2023,ISHARES MSCI EUROPE QUALITY DIV ETF E...,IE00BYYHSM20,Dividende,,EUR,"18,64",EUR,"166,74",
31-05-2023,07:42,30-05-2023,ISHARES ASIA PROPERTY YIELD UCITS ET...,IE00B1FZS244,Dividende,,USD,"11,57",USD,"11,57",
25-05-2023,17:34,25-05-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 19,24 EUR",,,,EUR,"148,10",
25-05-2023,17:34,25-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-19,24",EUR,"128,86",
25-05-2023,07:35,24-05-2023,,,Währungswechsel (Einbuchung),,EUR,"19,24",EUR,"148,10",
25-05-2023,07:35,24-05-2023,,,Währungswechsel (Ausbuchung),"1,0777",USD,"-20,74",USD,"0,00",
24-05-2023,07:16,23-05-2023,WELLTOWER INC. COMMON,US95040Q1040,Dividende,,USD,"24,40",USD,"20,74",
24-05-2023,07:16,23-05-2023,WELLTOWER INC. COMMON,US95040Q1040,Dividendensteuer,,USD,"-3,66",USD,"-3,66",
23-05-2023,16:49,23-05-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 25,53 EUR",,,,EUR,"128,86",
23-05-2023,16:49,23-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-25,53",EUR,"103,33",
23-05-2023,07:14,22-05-2023,E.ON SE,DE000ENAG999,Dividende,,EUR,"34,68",EUR,"128,86",
23-05-2023,07:14,22-05-2023,E.ON SE,DE000ENAG999,Dividendensteuer,,EUR,"-9,15",EUR,"94,18",
22-05-2023,17:20,22-05-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 2,26 EUR",,,,EUR,"103,33",
22-05-2023,17:20,22-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-2,26",EUR,"101,07",
20-05-2023,07:36,19-05-2023,,,Währungswechsel (Einbuchung),,EUR,"2,26",EUR,"103,33",
20-05-2023,07:36,19-05-2023,,,Währungswechsel (Ausbuchung),"1,0832",USD,"-2,45",USD,"0,00",
19-05-2023,06:59,18-05-2023,APPLE INC. - COMMON ST,US0378331005,Dividende,,USD,"2,88",USD,"2,45",
19-05-2023,06:59,18-05-2023,APPLE INC. - COMMON ST,US0378331005,Dividendensteuer,,USD,"-0,43",USD,"-0,43",
10-05-2023,16:49,10-05-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 67,17 EUR",,,,EUR,"101,07",
10-05-2023,16:49,10-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-67,17",EUR,"33,90",
10-05-2023,06:16,09-05-2023,ALLIANZ SE,DE0008404005,Dividende,,EUR,"91,20",EUR,"101,07",
10-05-2023,06:16,09-05-2023,ALLIANZ SE,DE0008404005,Dividendensteuer,,EUR,"-24,03",EUR,"9,87",
09-05-2023,17:04,09-05-2023,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 543,95 EUR",,,,EUR,"33,90",
09-05-2023,17:04,09-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"543,95",EUR,"577,85",
09-05-2023,12:19,08-05-2023,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 2.732,04 EUR",,,,EUR,"33,90",
09-05-2023,12:19,08-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"2732,04",EUR,"2765,94",
09-05-2023,09:04,09-05-2023,ISHARES PROP US,IE00B1FZSF77,"Kauf 3 zu je 24,725 EUR (IE00B1FZSF77)",,EUR,"-74,18",EUR,"33,90",6b69c50c-530a-43bc-bd27-264caf44c4c3
09-05-2023,09:04,09-05-2023,ISHARES PROP US,IE00B1FZSF77,"Kauf 17 zu je 24,725 EUR (IE00B1FZSF77)",,EUR,"-420,32",EUR,"108,07",6b69c50c-530a-43bc-bd27-264caf44c4c3
09-05-2023,09:04,09-05-2023,ISHARES PROP US,IE00B1FZSF77,"Kauf 2 zu je 24,725 EUR (IE00B1FZSF77)",,EUR,"-49,45",EUR,"528,40",6b69c50c-530a-43bc-bd27-264caf44c4c3
08-05-2023,21:40,08-05-2023,APPLE INC. - COMMON ST,US0378331005,Währungswechsel (Einbuchung),"1,0976",USD,"867,65",USD,"0,00",1c40eca7-e9f1-493c-84f8-84d3f09eb94b
08-05-2023,21:40,08-05-2023,APPLE INC. - COMMON ST,US0378331005,Währungswechsel (Ausbuchung),,EUR,"-790,46",EUR,"577,85",1c40eca7-e9f1-493c-84f8-84d3f09eb94b
08-05-2023,21:40,08-05-2023,APPLE INC. - COMMON ST,US0378331005,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"1368,31",1c40eca7-e9f1-493c-84f8-84d3f09eb94b
08-05-2023,21:40,08-05-2023,APPLE INC. - COMMON ST,US0378331005,"Kauf 5 zu je 173,53 USD (US0378331005)",,USD,"-867,65",USD,"-867,65",1c40eca7-e9f1-493c-84f8-84d3f09eb94b
08-05-2023,21:37,08-05-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Einbuchung),"1,0976",USD,"833,10",USD,"0,00",b05f0768-b964-4b63-bf97-cc6ed4d578c4
08-05-2023,21:37,08-05-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Ausbuchung),,EUR,"-758,99",EUR,"1369,31",b05f0768-b964-4b63-bf97-cc6ed4d578c4
08-05-2023,21:37,08-05-2023,BANK OF AMERICA CORPOR,US0605051046,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"2128,30",b05f0768-b964-4b63-bf97-cc6ed4d578c4
