libellé;Opération;Place;Date;Qté;Prix d'éxé;Montant brut;Courtage/Prélèvement;Montant net;Devise;
NOKIA;Encaissement coupons intérêt/dividende;Euronext Paris;04/05/2023;195.0;0.0;3.8;0.0;3.8;EUR;
PLASTIC OMNIUM;Encaissement coupons intérêt/dividende;Euronext Paris;04/05/2023;51.0;0.0;17.34;0.0;17.34;EUR;
BOUYGUES;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;03/05/2023;55.0;0.0;99.0;0.0;99.0;EUR;
ENGIE;Encaissement coupons intérêt/dividende;Euronext Paris;03/05/2023;216.0;0.0;263.69;0.0;263.69;EUR;
PLASTIC OMNIUM;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;02/05/2023;51.0;0.0;19.89;0.0;19.89;EUR;
ENGIE;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;28/04/2023;216.0;0.0;302.4;0.0;302.4;EUR;
VINCI;Encaissement coupons intérêt/dividende;Euronext Paris;27/04/2023;13.0;0.0;34.0;0.0;34.0;EUR;
VINCI;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;25/04/2023;13.0;0.0;39.0;0.0;39.0;EUR;
NOKIA;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;24/04/2023;195.0;0.0;3.8;0.0;3.8;EUR;
SES;Encaissement coupons intérêt/dividende;Euronext Paris;20/04/2023;84.0;0.0;35.7;0.0;35.7;EUR;
SES;OST de création de coupons - Détachement coupon optionnel;Euronext Paris;18/04/2023;84.0;0.0;35.7;0.0;35.7;EUR;
