Mois;LDD;Livret A;CSL;PEL;Livret +;BCEE;ING;Bau.;W?st.
01.01.14;3211,9;0;;364,16;;14602,2;;;
01.02.14;2300;0;;45;;0;;;
01.03.14;2000;0;;45;;0;;;
01.04.14;988,1;0;;45;;0;;;
01.05.14;1500;0;;45;;0;;;
01.06.14;2000;0;;45;;0;;;
01.07.14;0;989,8;;45;;0;;;
01.08.14;0;2000;;365,34;;0;;;
01.09.14;0;0;;1545;;0;;;
01.10.14;0;0;;1545;;0;;;
01.11.14;0;0;;2545;;0;;;
01.12.14;101,5;11;;1579,61;;0;;;
01.01.15;0;0;;1545;;0;;;
01.02.15;0;-1000;;1240,9;;0;;;
01.03.15;0;0;;1545;;0;;;
01.04.15;0;0;;1545;;0;;;
01.05.15;0;0;;1777,3;;0;;;
01.06.15;0;0;;3045;;0;;;
01.07.15;0;0;;1545;;0;;;
01.08.15;0;0;;1545;;0;;;
01.09.15;0;600;;1545;;0;;;
01.10.15;0;267,3;;1452,7;;0;;;
01.11.15;0;3000;;45;;0;;;
01.12.15;108,4;1022,1;;412,9;;0;;;
01.01.16;0;3100;;45;;0;;;
01.02.16;0;0;;45;;0;;;
01.03.16;0;-10000;;45;;0;;;
01.04.16;0;0;;2445;;0;;;
01.05.16;0;0;;2045;;0;;;
01.06.16;0;0;;1245;;0;;;
01.07.16;-4200;-0,4;;10045,4;;0;;;
01.08.16;0;0;;2545;;0;;;
01.09.16;-6000;0;;1545;;500;;;
01.10.16;0;0;;1045;;500;;;
01.11.16;0;0;;3045;;500;;;
01.12.16;564;0;;1785,7;;5000;;1344;
01.01.17;0;0;;1545;;500;;45;
01.02.17;400;0;;1145;;500;;60;
01.03.17;1026,1;0;;45;;500;;60;
01.04.17;1000;0;;1545;;500;;60;
01.05.17;1000;0;;545;;500;;60;
01.06.17;-1000;2500;;845;;500;;60;
01.07.17;;1500;;545;;500;;60;
01.08.17;;-1500;;545;;500;;60;
01.09.17;;2500;;45;;500;;60;
01.10.17;;;;45;;1554,1;;60;
01.11.17;;2000;;45;;500;;60;
01.12.17;31,6;2015,4;;1228,5;;5192,5;;84,5;
01.01.18;;1000;;45;;500;;60;
01.02.18;;3000;;45;;500;;60;
01.03.18;;2500;;45;;500;;60;
01.04.18;;2472;;45;;500;;60;
01.05.18;;2500;;45;;1500;;60;
01.06.18;0;2450;;45;;3000;;60;
01.07.18;-800;;;45;;500;;60;
01.08.18;1000;;;45;;;;60;
01.09.18;2000;;;45;;;;60;
01.10.18;0;;;45;;-1100;;60;
01.11.18;1850;;;45;;;;2060;
01.12.18;2040,9;139,9;;1281,9;;4144,6;;87,4;
01.01.19;877,5;;;45;;-17433;;60;
01.02.19;;-10,2;610,1;45;;;;60;
01.03.19;;;400;45;3100;;;60;
01.04.19;;;;45;-2000;;;60;
01.05.19;;;-1000;45;-1090;;;60;
01.06.19;;;1250;45;1700;4500;;60;
01.07.19;;;-656,7;45;-1650;;;60;
01.08.19;;;400;45;1730;2000,8;;60;
01.09.19;;;1385;45;207;;;60;
01.10.19;;;1120;45;2102;;;60;
01.11.19;;;500;45;-4089;1500;;2060;
01.12.19;89,5;173,2;492,5;1318,69;10,8;4000;;115,4;
01.01.20;;;;45;;-8340;;60;
01.02.20;;;-300;45;7934,9;;;60;
01.03.20;;;2650;45;12967,88;978,8;;60;
01.04.20;;;2600;45;-2534,02;2500;;60;
01.05.20;;;4450;45;-1000;;;60;
01.06.20;;-10,15;2900;45;-1500;5300;;60;
01.07.20;;;-12000;45;-6000;1000;;60;
01.08.20;-12079,5;-23263,05;-4790,94;-63368,1;-9879,5;-38939,8;;60;
01.09.20;;;;;;;;60;
01.10.20;;2000;;;;;;60;
01.11.20;;;;;2000;39,8;;1360;
01.12.20;40,3;79,2;1,46;;1006,55;;10000;641,7;290
01.01.21;;;;;;;;60;60
01.02.21;-50,3;-2079,2;-11,46;;1000;;2000;60;60
01.03.21;;5000;;;-4006,55;;;60;60
01.04.21;;5000;;;;;500;60;60
01.05.21;;0;;;;;1500;-10438;60
01.06.21;;-1000;;;;;1000;;60
01.07.21;;-1500;;;;;;;60
01.08.21;;35;;;;;;;60
01.09.21;;-500;;;;;-1000;;60
01.10.21;;-7025;;;;;-3000;;60
01.11.21;;;;;;;;;60
01.12.21;;;;;;;9000;;2030
01.01.22;;;;;;;6500,1;;60
01.02.22;;128,83;;;;;1500;;60
01.03.22;;;;;;;;;60
01.04.22;;1910,83;;;;;3000;;60
01.05.22;;1000;;;;;1000;;60
01.06.22;;1000;;;;;;;60
01.07.22;;3253,52;;;;;3000;;60
01.08.22;;1000;;;;;-9500;;60
01.09.22;;;;;;;;;60
01.10.22;;1200;;;;;;;60
01.11.22;;;;;;;;;60
01.12.22;;;;;;;;;
